item-name,price ($),company,rating,link
GIGABYTE WINDFORCE GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4070WF3OC-12GD,749,GIGABYTE,4.8,https://www.newegg.ca/gigabyte-geforce-rtx-4070-gv-n4070wf3oc-12gd/p/N82E16814932611
"ASUS Dual GeForce RTX 4070 OC Edition 12GB GDDR6X, IP5X, Auto-Extreme Technology, 144-Hour Validation Program, HDMI 2.1a, DP 1.4a, DUAL-RTX4070-O12G",769,ASUS,4.6,https://www.newegg.ca/asus-geforce-rtx-4070-dual-rtx4070-o12g/p/N82E16814126638
MSI Ventus GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 VENTUS 2X 12G OC,771,MSI,4.8,https://www.newegg.ca/msi-geforce-rtx-4070-rtx-4070-ventus-2x-12g-oc/p/N82E16814137787
MSI Gaming GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card RTX 4070 GAMING X SLIM 12G,769,MSI,4.9,https://www.newegg.ca/msi-geforce-rtx-4070-rtx-4070-gaming-x-slim-12g/p/N82E16814137826
"ASUS Dual GeForce RTX 4070 SUPER OC Edition graphics card (PCIe 4.0, 12GB GDDR6X, DLSS 3, HDMI 2.1, DisplayPort 1.4a, 2.56-slot design, Axial-tech fan design, Auto-Extreme Tech) DUAL-RTX4070S-O12G",829,ASUS,4.6,https://www.newegg.ca/asus-geforce-rtx-4070-dual-rtx4070s-o12g/p/N82E16814126687
"GIGABYTE GeForce RTX 4070 SUPER WINDFORCE OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SWF3OC-12GD  Video Card",829,GIGABYTE,4.1,https://www.newegg.ca/gigabyte-geforce-rtx-4070-super-gv-n407swf3oc-12gd/p/N82E16814932683
"ZOTAC GAMING GeForce RTX 4070 Twin Edge DLSS 3 12GB GDDR6X 192-bit 21 Gbps PCIE 4.0 Compact Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA RGB Lighting, ZT-D40700E-10M",849,ZOTAC,4.7,https://www.newegg.ca/zotac-geforce-rtx-4070-zt-d40700e-10m/p/N82E16814500550
MSI Gaming GeForce RTX 4070 SUPER 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 SUPER 12G GAMING X SLIM,899,MSI,4.8,https://www.newegg.ca/msi-geforce-rtx-4070-super-rtx-4070-super-12g-gaming-x-slim/p/N82E16814137860
MSI Gaming GeForce RTX 4070 SUPER 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 SUPER 12G GAMING X SLIM MLG,929,MSI,0,https://www.newegg.ca/msi-geforce-rtx-4070-super-rtx-4070-super-12g-gaming-x-slim-mlg/p/N82E16814137872
"ASUS TUF Gaming NVIDIA GeForce RTX 4070 OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1, DisplayPort 1.4a) TUF-RTX4070-O12G-GAMING",899,ASUS,4.9,https://www.newegg.ca/asus-geforce-rtx-4070-tuf-rtx4070-o12g-gaming/p/N82E16814126637
"ZOTAC GAMING GeForce RTX 4070 SUPER Twin Edge DLSS 3 12GB GDDR6X 192-bit 21 Gbps PCIE 4.0 Compact Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA RGB Lighting, ZT-D40720E-10M",829,ZOTAC,4.5,https://www.newegg.ca/zotac-geforce-rtx-4070-super-zt-d40720e-10m/p/N82E16814500572
"GIGABYTE GeForce RTX 4070 SUPER AERO OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SAERO OC-12GD Video Card",919,GIGABYTE,5,https://www.newegg.ca/gigabyte-geforce-rtx-4070-super-gv-n407saero-oc-12gd/p/N82E16814932680
MSI Ventus GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 VENTUS 2X WHITE 12G OC,789,MSI,3.9,https://www.newegg.ca/msi-geforce-rtx-4070-rtx-4070-ventus-2x-white-12g-oc/p/N82E16814137833
"ASUS Dual GeForce RTX 4070 SUPER graphics card (PCIe 4.0, 12GB GDDR6X, DLSS 3, HDMI 2.1, DisplayPort 1.4a, 2.56-slot design, Axial-tech fan design, Auto-Extreme Tech) DUAL-RTX4070S-12G",829,ASUS,4.8,https://www.newegg.ca/asus-geforce-rtx-4070-dual-rtx4070s-12g/p/N82E16814126688
